STT,PLC Register,Assigment,Descript
1,D2100,Is PLC-Tape Ready?,PLCTapeReady?1:0
2,D2101,Is Trigger Tape?,PLCTapeTrigger?1:0
3,D2000,Is Tape Ready?,VisionTapeReady?1:0
4,D2002,Is Tape Processing?,VisionTapeProcessing?0:1
5,D2003,Is Tape Exception?,VisionTapeException?1:0
6,D2004,Tape Qty,Tape quantity [0-6]
7,D2005,Tape#1 - X,Tape#1 - X Align Data
8,D2007,Tape#1 - Y,Tape#1 - Y Align Data
9,D2009,Tape#2 - X,Tape#2 - X Align Data
10,D2011,Tape#2 - Y,Tape#2 - Y Align Data
11,D2013,Tape#3 - X,Tape#3 - X Align Data
12,D2015,Tape#3 - Y,Tape#3 - Y Align Data
13,D2017,Tape#4 - X,Tape#4 - X Align Data
14,D2019,Tape#4 - Y,Tape#4 - Y Align Data
15,D2021,Tape#5 - X,Tape#5 - X Align Data
16,D2023,Tape#5 - Y,Tape#5 - Y Align Data
17,D2025,Tape#6 - X,Tape#6 - X Align Data
18,D2027,Tape#6 - Y,Tape#6 - Y Align Data
19,D2300,Is PLC-Jig Ready?,PLC Jig Ready?1:0
20,D2301,Is Trigger Jig?,PLC JigTrigger?1:0
21,D2200,Is Jig Ready?,Vision Jig Ready?1:0
22,D2202,Is Jig Processing,Vision Jig Processing?0:1
23,D2203,Is Jig Exception?,Vision Jig Exception?1:0
24,D2204,Slot 1,Is Slot 1 Exist?
25,D2205,Slot 2,Is Slot 2 Exist?
26,D2206,Slot 3,Is Slot 3 Exist?
27,D2207,Slot 4,Is Slot 4 Exist?
28,D2208,Slot 5,Is Slot 5 Exist?
29,D2209,Slot 6,Is Slot 6 Exist?
30,D2210,Slot 7,Is Slot 7 Exist?
31,D2211,Slot 8,Is Slot 8 Exist?
32,D2212,Slot 9,Is Slot 9 Exist?
33,D2213,Slot 10,Is Slot 10 Exist?
34,D3013,Jig - X Align Data,Jig X Align Data
35,D3015,Jig - Y Align Data,Jig Y Align Data
